Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
,VK4ROM 2m Roma,146.65,146.05,Analog,High,None,None,0,0,0,1
,VK4RSA 2m Macky,146.675,146.075,Analog,High,None,None,0,0,0,1
,VK4RSC 2m SnCst,146.85,146.25,Analog,High,None,91.5,0,0,0,1
,VK4RSL 2m SnCst,146.825,146.225,Analog,High,None,91.5,0,0,0,1
,VK5RAC 2mLEyrPn,146.75,146.15,Analog,High,None,None,0,0,0,1
,VK5RAD 2m Crfrs,147,146.4,Analog,High,None,None,0,0,0,1
,VK5RAE 2m PtAgs,146.975,146.375,Analog,High,None,None,0,0,0,1
,VK5RAH 2mAdlHls,146.775,146.175,Analog,High,None,None,0,0,0,1
,VK5RBK 2m MtBkr,146.725,146.125,Analog,High,None,None,0,0,0,1
,VK5RBT 2m Bdtwn,147.35,147.95,Analog,High,None,None,0,0,0,1
,VK5RBV 2m Brosa,146.825,146.225,Analog,High,None,None,0,0,0,1
,VK5REP 2mEyrPen,146.8,146.2,Analog,High,None,None,0,0,0,1
,VK5RHO 2m Adlde,146.85,146.25,Analog,High,None,None,0,0,0,1
,VK5RLD 2m Rvlnd,147.325,147.925,Analog,High,None,None,0,0,0,1
,VK5RLH 2m CntNt,146.925,146.325,Analog,High,None,None,0,0,0,1
,VK5RLZ 2m AdNth,146.625,146.025,Analog,High,None,None,0,0,0,1
,VK5RMB 2m MBdge,146.875,146.275,Analog,High,None,None,0,0,0,1
,VK5RMG 2m MtGmb,146.9,146.3,Analog,High,None,None,0,0,0,1
,VK5RMN 2m PtPri,146.7,146.1,Analog,High,None,None,0,0,0,1
,VK5RSE 2m Mlcnt,146.8,146.2,Analog,High,None,None,0,0,0,1
,VK5RSV 2mAdlSth,146.675,146.075,Analog,High,None,None,0,0,0,1
,VK7RAD 2m Hbrt,146.7,146.1,Analog,High,None,141.3,0,0,0,1
,VK7RAD 2mHbrt2,147.975,147.375,Analog,High,None,None,0,0,0,1
,VK7RAF 2m Hbrt,146.65,146.05,Analog,High,None,123,0,0,0,1
,VK7RBI 2m SETas,147.3,147.3,Analog,High,None,114.8,0,0,0,1
,VK7RVP 2m NWtas,146.725,146.125,Analog,High,None,91.5,0,0,0,1
,VK7RWC 2m W Cst,147.075,147.675,Analog,High,None,123,0,0,0,1
